Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Year,Month,Month_Name,Quarter,Week,Total_Interactions,Virality_Score,Save_Rate,View_to_Engagement,Performance_Tier,Content_Score,Time_Bucket
POST_04552,2024-01-01 01:42:00,Instagram,Carousel,Business,8287,247,51,29502,20,223080,3.85,1,Monday,16,985,Positive,Macro,True,False,2024,1,January,1,1,8605,4.0048,0.0678,29.1675,Good,2.7618,Late Night
POST_02171,2024-01-01 05:05:00,LinkedIn,Document,Health,1711,27,247,24538,139,312647,0.63,5,Monday,9,627,Negative,Macro,False,True,2024,1,January,1,1,2124,0.8015,0.5665,8.656,Low,0.6624,Late Night
POST_00210,2024-01-01 09:18:00,Instagram,Carousel,Food,1527,191,7,5460,359,220737,0.78,9,Monday,27,79,Positive,Macro,True,True,2024,1,January,1,1,2084,0.8743,6.5751,38.1685,Low,2.5468,Morning
POST_01548,2024-01-01 10:58:00,Facebook,Video,Sports,535,178,433,68246,740,428935,0.27,10,Monday,17,554,Neutral,Macro,True,False,2024,1,January,1,1,1886,0.5106,1.0843,2.7635,Low,0.5865,Morning
POST_01350,2024-01-01 13:12:00,Instagram,Photo,Fitness,9706,35,118,25782,611,64384,15.31,13,Monday,5,1136,Positive,Mid-tier,True,False,2024,1,January,1,1,10470,15.7335,2.3699,40.6097,Viral,11.555,Afternoon
POST_01582,2024-01-02 01:24:00,Twitter,Poll,Sports,3767,83,522,59434,242,421886,1.04,1,Tuesday,19,1611,Negative,Macro,True,False,2024,1,January,1,1,4614,1.3034,0.4072,7.7632,Average,0.9292,Late Night
POST_02656,2024-01-02 03:01:00,Twitter,Poll,Lifestyle,1558,71,676,45929,92,259275,0.89,3,Tuesday,25,1406,Negative,Macro,True,False,2024,1,January,1,1,2397,1.4379,0.2003,5.2189,Low,0.8475,Late Night
POST_00196,2024-01-02 16:59:00,Twitter,Thread,Education,599,222,787,68904,314,30966,5.19,16,Tuesday,1,399,Negative,Micro,True,False,2024,1,January,1,1,1922,10.9923,0.4557,2.7894,Good,5.5104,Afternoon
POST_03049,2024-01-02 20:04:00,Twitter,Thread,Travel,597,22,339,67556,74,478824,0.2,20,Tuesday,22,1445,Neutral,Macro,True,True,2024,1,January,1,1,1032,0.3463,0.1095,1.5276,Low,0.2167,Evening
POST_02119,2024-01-02 21:41:00,Instagram,Carousel,Entertainment,1874,467,16,30977,688,67464,3.49,21,Tuesday,11,1458,Positive,Mid-tier,True,True,2024,1,January,1,1,3045,4.2333,2.221,9.8299,Good,3.3323,Night
POST_00401,2024-01-02 21:55:00,Instagram,Photo,Business,1867,125,281,44911,286,292298,0.78,21,Tuesday,6,1262,Negative,Macro,True,False,2024,1,January,1,1,2559,1.0127,0.6368,5.6979,Low,0.8068,Night
